epoch,lr,alpha_t,train_loss,train_top1,train_top5,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,-1,4.027729734954834,7.672,25.986,11.94,35.16,0.88,0.98,0.91
1,0.1,-1,3.3631633431243895,17.954,45.782,21.71,51.28,0.82,0.83,0.97
2,0.1,-1,2.9067449839782715,26.386,57.888,29.3,60.34,1.18,1.02,0.68
3,0.1,-1,2.4954979612731933,34.878,67.766,36.12,67.37,0.9,0.83,0.63
4,0.1,-1,2.2104308199310303,40.86,73.516,39.12,70.86,0.81,0.87,0.63
5,0.1,-1,2.044604529876709,44.446,76.93,40.34,73.18,1.31,0.6,0.79
6,0.1,-1,1.9230067741394044,47.406,79.33,40.73,72.6,1.55,0.97,0.9
7,0.1,-1,1.8490187659454345,49.206,80.902,40.67,72.62,0.82,1.02,0.82
8,0.1,-1,1.794219389190674,50.742,81.806,47.58,80.55,1.0,1.0,0.89
9,0.1,-1,1.7487453400421142,51.514,82.408,46.5,78.04,1.0,1.0,1.0
10,0.1,-1,1.7102412961959839,52.646,83.248,43.26,75.67,1.0,1.0,1.0
11,0.1,-1,1.6824922547912597,53.316,83.748,48.07,79.16,1.0,1.0,1.0
12,0.1,-1,1.6581279616546631,53.93,84.21,36.77,68.68,1.0,1.0,1.0
13,0.1,-1,1.6334822076416016,54.572,84.458,48.44,79.89,1.0,1.0,1.0
14,0.1,-1,1.62438662689209,54.686,84.502,48.96,79.88,1.0,1.0,1.0
15,0.1,-1,1.6078190257263183,55.202,84.878,45.63,76.71,1.0,1.0,1.0
16,0.1,-1,1.5913836394500733,55.47,85.176,50.82,81.36,1.0,1.0,1.0
17,0.1,-1,1.5800057141113282,56.008,85.304,51.03,80.5,1.0,1.0,1.0
18,0.1,-1,1.5694878484725951,56.186,85.492,49.79,80.74,1.0,1.0,1.0
19,0.1,-1,1.5672168478775024,56.122,85.528,50.71,81.26,1.0,1.0,1.0
20,0.1,-1,1.5496122473144531,56.366,85.934,49.11,79.72,1.0,1.0,1.0
21,0.1,-1,1.5431923442077637,56.688,85.916,46.93,77.26,1.0,1.0,1.0
22,0.1,-1,1.5328943338775636,57.014,85.986,47.98,79.17,1.0,1.0,1.0
23,0.1,-1,1.5333154572296142,56.888,86.042,50.34,80.0,1.0,1.0,1.0
24,0.1,-1,1.5265434505844115,57.454,86.232,52.33,82.01,1.0,1.0,1.0
25,0.1,-1,1.520096588821411,57.284,86.39,48.37,78.39,1.0,1.0,1.0
26,0.1,-1,1.5217361836624146,57.366,86.232,50.31,80.12,1.0,1.0,1.0
27,0.1,-1,1.5043555425262451,57.726,86.532,48.48,78.96,1.0,1.0,1.0
28,0.1,-1,1.506209211959839,57.818,86.356,46.18,77.25,1.0,1.0,1.0
29,0.1,-1,1.5040420816040039,57.956,86.466,50.01,81.22,1.0,1.0,1.0
30,0.1,-1,1.4993163469696045,57.904,86.59,51.12,81.1,1.0,1.0,1.0
31,0.1,-1,1.4941167024612427,58.05,86.884,50.92,81.73,1.0,1.0,1.0
32,0.1,-1,1.4939614010620117,58.18,86.664,48.38,78.87,1.0,1.0,1.0
33,0.1,-1,1.4866323093414306,58.462,86.61,51.95,81.6,1.0,1.0,1.0
34,0.1,-1,1.4795993166351318,58.42,86.92,51.94,81.98,1.0,1.0,1.0
35,0.1,-1,1.4816685677337647,58.294,86.614,49.19,80.0,1.0,1.0,1.0
36,0.1,-1,1.4747022480010987,58.59,86.986,53.06,82.51,1.0,1.0,1.0
37,0.1,-1,1.4751710648345948,58.624,86.982,48.84,78.39,1.0,1.0,1.0
38,0.1,-1,1.4716414876174926,58.584,87.02,52.99,83.36,1.0,1.0,1.0
39,0.1,-1,1.4674210425949097,58.956,86.932,49.86,80.02,1.0,1.0,1.0
40,0.1,-1,1.4694653610610962,58.782,86.928,47.43,77.04,1.0,1.0,1.0
41,0.1,-1,1.4592166701507567,59.126,87.13,54.28,83.88,1.0,1.0,1.0
42,0.1,-1,1.4624138245773315,59.106,87.172,52.86,81.57,1.0,1.0,1.0
43,0.1,-1,1.4626581073760987,58.804,87.058,53.11,82.97,1.0,1.0,1.0
44,0.1,-1,1.4577615616226196,59.086,87.05,50.94,79.89,1.0,1.0,1.0
45,0.1,-1,1.461640810546875,59.086,87.266,50.23,80.35,1.0,1.0,1.0
46,0.1,-1,1.4533663899230957,59.048,87.254,50.36,80.81,1.0,1.0,1.0
47,0.1,-1,1.4616867344665527,58.888,87.204,46.67,78.21,1.0,1.0,1.0
48,0.1,-1,1.4575280842781067,59.054,87.292,55.04,84.66,1.0,1.0,1.0
49,0.1,-1,1.444783233642578,59.228,87.498,50.42,80.77,1.0,1.0,1.0
