epoch,lr,alpha_t,train_loss,train_top1,train_top5,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,5.251702462463379,5.854,20.998,9.35,30.65,8.53,8.63,8.7
1,0.1,0.8999753262144805,3.7132709032440188,12.604,37.054,16.36,42.52,15.45,15.31,15.54
2,0.1,0.8999013075636805,3.4075453188323976,18.136,46.134,21.96,51.24,20.05,20.25,20.7
3,0.1,0.8997779521645792,3.135899752883911,23.37,54.248,26.31,56.82,24.01,24.69,25.27
4,0.1,0.8996052735444863,2.820283006668091,30.008,62.482,25.6,56.89,23.63,24.21,25.2
5,0.1,0.8993832906395582,2.5466700965881346,35.862,69.078,33.9,67.91,31.12,31.88,32.8
6,0.1,0.8991120277927223,2.333581558532715,40.284,73.924,38.56,71.12,34.55,35.92,37.31
7,0.1,0.8987915147510062,2.208334695663452,43.472,76.562,39.21,69.84,36.81,37.64,38.47
8,0.1,0.898421786662277,2.107220429534912,46.37,78.428,44.97,77.83,41.2,42.49,43.87
9,0.1,0.8980028840713861,2.0367707760620117,47.952,79.884,44.97,77.63,42.35,42.95,43.83
10,0.1,0.897534852915723,1.976381215133667,49.444,80.98,45.37,76.5,42.97,43.61,44.52
11,0.1,0.8970177445201784,1.937065627746582,50.55,81.822,43.32,75.27,41.62,41.97,42.46
12,0.1,0.8964516155915151,1.8946364175796508,51.818,82.276,42.84,74.16,40.09,41.07,42.0
13,0.1,0.8958365282121497,1.8611591830444336,52.364,82.82,48.49,79.39,46.46,47.01,47.82
14,0.1,0.8951725498333448,1.836512451171875,53.04,83.412,50.38,80.64,46.87,48.24,49.45
15,0.1,0.894459753267812,1.8182381594848633,53.806,83.568,49.39,80.44,47.4,48.3,49.03
16,0.1,0.8936982166817272,1.7993927787017823,54.132,84.05,49.39,80.68,46.95,47.86,48.58
17,0.1,0.8928880235861588,1.7756661892700196,54.898,84.338,49.88,80.29,48.34,48.84,49.21
18,0.1,0.89202926282791,1.7625518381118774,55.086,84.542,48.88,78.65,46.92,47.56,48.19
19,0.1,0.8911220285797748,1.7492050539779662,55.624,84.528,51.89,81.93,49.51,50.24,51.11
20,0.1,0.8901664203302125,1.7271812540435791,55.96,85.08,48.2,78.28,45.91,46.79,47.56
21,0.1,0.8891625428724363,1.7113485424804689,56.262,85.34,43.55,74.5,41.13,42.03,42.98
22,0.1,0.8881105062929221,1.7029562675476073,56.476,85.466,45.77,76.45,42.99,44.1,44.99
23,0.1,0.8870104259593362,1.6940584172058106,56.694,85.496,48.28,78.72,46.66,47.15,47.8
24,0.1,0.885862422507884,1.680595690536499,57.142,85.706,53.78,83.14,51.64,52.54,53.25
25,0.1,0.8846666218300807,1.6756826663970947,56.794,85.662,52.43,82.58,50.39,51.4,51.87
26,0.1,0.8834231550589462,1.6628920158386231,57.412,85.996,50.66,78.62,47.01,48.15,49.7
27,0.1,0.8821321585546243,1.6548562125396729,57.548,85.844,46.08,75.8,42.75,43.95,45.06
28,0.1,0.8807937738894303,1.6461866706466675,57.658,86.072,53.8,83.07,51.13,52.36,53.35
29,0.1,0.8794081478323246,1.6318066411972045,57.956,86.246,52.78,81.92,50.51,51.21,52.13
30,0.1,0.8779754323328192,1.6251693838500976,57.976,86.45,54.52,82.75,51.0,52.12,53.37
31,0.1,0.8764957845043136,1.622786477203369,58.204,86.4,50.34,81.2,47.99,48.69,49.72
32,0.1,0.8749693666068664,1.6123592549514771,58.518,86.422,44.64,74.62,42.2,43.27,44.07
33,0.1,0.8733963460294015,1.5978869664764404,58.692,86.486,50.8,80.73,48.01,49.15,49.82
34,0.1,0.8717768952713513,1.5917501007080077,58.662,86.72,54.41,82.82,51.99,53.25,54.02
35,0.1,0.8701111919237408,1.5867920071792603,58.578,86.746,49.36,78.48,44.93,46.35,48.06
36,0.1,0.8683994186497132,1.575455839767456,58.93,86.772,52.2,82.05,49.29,50.24,51.38
37,0.1,0.8666417631644977,1.5739355749130248,59.03,87.028,54.59,82.86,52.48,53.31,53.96
38,0.1,0.8648384182148252,1.5629099096679688,59.142,86.894,51.04,80.58,48.73,49.58,50.46
39,0.1,0.8629895815577915,1.5591341127777099,59.152,86.896,52.19,81.87,50.16,51.09,51.88
40,0.1,0.8610954559391704,1.5556262010192872,59.13,87.008,55.03,83.02,52.49,53.58,54.38
41,0.1,0.8591562490711809,1.5350392959594727,59.494,87.038,50.63,80.37,48.63,49.33,49.79
42,0.1,0.8571721736097089,1.5380951098251343,59.192,87.25,53.41,82.85,49.88,51.29,52.41
43,0.1,0.8551434471309871,1.5260607585525512,59.55,87.234,53.89,82.83,52.11,52.9,53.34
44,0.1,0.8530702921077358,1.5181221947097778,59.666,87.304,50.8,78.59,48.65,49.54,50.09
45,0.1,0.8509529358847655,1.5140106604003907,59.592,87.312,48.48,77.2,45.93,46.84,47.68
46,0.1,0.8487916106540466,1.5034269898986816,60.046,87.144,52.94,81.45,50.1,50.93,51.75
47,0.1,0.8465865534292465,1.5062898442840575,59.682,87.242,53.06,82.56,49.98,51.17,52.27
48,0.1,0.8443380060197386,1.500840866279602,59.654,87.184,55.62,84.08,52.46,53.43,54.81
49,0.1,0.8420462150040853,1.4774317361068725,60.214,87.624,52.74,82.62,49.68,50.66,51.71
