epoch,lr,alpha_t,train_loss,train_top1,train_top5,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,25.818590010986327,3.712,15.3,7.25,26.88,8.75,8.72,8.3
1,0.1,0.8999753262144805,18.70758928100586,10.836,33.342,15.46,40.2,14.04,14.82,15.06
2,0.1,0.8999013075636805,16.701840546875,18.486,46.728,21.97,51.79,21.01,21.51,22.12
3,0.1,0.8997779521645792,14.95825254699707,25.88,56.496,27.08,57.59,21.31,21.97,24.94
4,0.1,0.8996052735444863,13.247179720458984,32.9,65.542,25.41,53.86,22.44,23.83,25.08
5,0.1,0.8993832906395582,11.878756842956543,39.414,71.832,39.44,71.15,31.24,33.5,35.96
6,0.1,0.8991120277927223,10.862004754333496,44.022,76.136,40.69,72.95,33.98,35.63,38.38
7,0.1,0.8987915147510062,10.284379680175782,46.726,78.38,36.42,67.11,31.34,32.84,34.08
8,0.1,0.898421786662277,9.786128526916503,49.452,80.114,45.75,77.65,41.12,43.02,44.23
9,0.1,0.8980028840713861,9.523581134643555,50.592,81.474,46.55,79.94,43.23,44.16,44.92
10,0.1,0.897534852915723,9.222576276245118,52.218,82.528,45.34,76.53,40.14,42.49,44.36
11,0.1,0.8970177445201784,9.019483604125977,52.902,83.328,41.75,73.51,34.68,37.72,40.17
12,0.1,0.8964516155915151,8.862553236999512,53.882,83.876,46.34,78.07,42.57,43.5,44.75
13,0.1,0.8958365282121497,8.643648800354004,55.014,84.454,51.76,82.77,46.71,48.51,49.99
14,0.1,0.8951725498333448,8.546988370666504,55.29,84.894,52.27,81.52,47.53,49.32,50.85
15,0.1,0.894459753267812,8.423337522277832,55.984,85.36,48.84,80.04,44.72,46.33,47.53
16,0.1,0.8936982166817272,8.352683922424317,56.532,85.446,50.81,81.42,44.99,46.61,47.93
17,0.1,0.8928880235861588,8.243302847595215,57.158,85.944,48.48,78.3,42.32,44.46,46.28
18,0.1,0.89202926282791,8.195307509460449,57.114,85.99,49.43,79.87,44.03,45.31,47.0
19,0.1,0.8911220285797748,8.118344058227539,57.51,86.202,52.4,82.85,48.03,49.73,50.13
20,0.1,0.8901664203302125,8.042054712524415,57.688,86.438,43.5,74.8,37.59,38.38,41.44
21,0.1,0.8891625428724363,7.9863400930786135,58.05,86.542,48.6,79.83,44.36,45.79,47.04
22,0.1,0.8881105062929221,7.9059962969970705,58.61,86.93,52.23,82.14,47.91,49.31,50.81
23,0.1,0.8870104259593362,7.8842764199829105,58.736,86.838,51.03,80.74,45.89,46.62,47.95
24,0.1,0.885862422507884,7.809769089355469,58.84,87.044,53.49,82.77,47.86,50.06,51.12
25,0.1,0.8846666218300807,7.761338692016602,59.006,87.19,51.15,81.06,46.7,48.04,49.82
26,0.1,0.8834231550589462,7.727622124023437,59.542,87.208,51.82,81.81,46.53,48.62,51.18
27,0.1,0.8821321585546243,7.6804211373901365,59.364,87.346,55.82,83.66,49.11,50.44,53.18
28,0.1,0.8807937738894303,7.666059525146484,59.492,87.548,49.56,79.14,45.08,46.67,48.62
29,0.1,0.8794081478323246,7.561366376953125,59.792,87.516,55.38,84.83,50.71,51.85,53.02
30,0.1,0.8779754323328192,7.56051535949707,60.014,87.736,52.39,82.34,48.62,50.09,51.19
31,0.1,0.8764957845043136,7.518323554840088,60.09,87.918,52.31,81.59,46.97,48.37,49.95
32,0.1,0.8749693666068664,7.5050411071777345,59.966,87.924,55.55,84.14,49.66,51.43,53.01
33,0.1,0.8733963460294015,7.41934162902832,60.466,87.936,48.71,79.09,43.2,45.04,46.53
34,0.1,0.8717768952713513,7.395170285949707,60.668,87.986,56.45,84.55,50.92,53.12,54.72
35,0.1,0.8701111919237408,7.377555777282715,60.572,88.004,54.63,83.3,50.26,52.29,53.35
36,0.1,0.8683994186497132,7.317021328125,60.79,88.108,50.53,80.23,45.21,46.62,48.11
37,0.1,0.8666417631644977,7.322845339050293,60.794,88.308,50.9,79.8,45.38,47.36,48.46
38,0.1,0.8648384182148252,7.262174933471679,60.83,88.29,54.35,83.64,50.42,51.38,52.52
39,0.1,0.8629895815577915,7.226130916442871,60.826,88.41,47.8,78.62,41.64,43.07,45.72
40,0.1,0.8610954559391704,7.2230624365234375,61.024,88.244,55.99,84.7,50.92,52.61,54.35
41,0.1,0.8591562490711809,7.139691960144043,61.24,88.32,54.8,83.46,49.68,52.15,52.88
42,0.1,0.8571721736097089,7.108661240539551,61.494,88.554,55.22,84.06,50.74,52.02,53.3
43,0.1,0.8551434471309871,7.104899255065918,61.286,88.6,52.18,81.99,46.93,48.54,49.96
44,0.1,0.8530702921077358,7.05050974105835,61.448,88.536,55.8,83.93,50.32,52.46,53.66
45,0.1,0.8509529358847655,7.05587608795166,61.502,88.466,54.81,83.82,49.94,51.75,53.37
46,0.1,0.8487916106540466,6.973785701599121,61.814,88.778,54.98,83.49,47.74,50.28,52.24
47,0.1,0.8465865534292465,6.990571521759033,61.58,88.686,54.37,84.95,49.2,50.29,52.67
48,0.1,0.8443380060197386,6.93275217590332,62.006,88.592,52.11,82.38,46.33,48.66,50.35
49,0.1,0.8420462150040853,6.8947669819641115,61.898,88.77,52.17,82.13,46.66,48.27,49.84
