epoch,lr,alpha_t,train_loss,train_top1,train_top5,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,-1,0.8191314519119263,9.758,30.254,15.09,40.82,13.4,13.72,13.83
1,0.1,-1,0.697954506072998,19.872,48.92,17.67,47.48,16.5,16.74,17.09
2,0.1,-1,0.6216827158355713,27.344,59.96,30.59,65.02,28.16,28.76,29.27
3,0.1,-1,0.5652628120422363,33.69,67.67,31.71,64.49,28.25,28.85,29.97
4,0.1,-1,0.519867947254181,39.032,72.99,37.77,70.75,36.43,36.95,37.16
5,0.1,-1,0.4889448142242432,42.692,75.738,41.38,74.71,40.66,40.99,41.07
6,0.1,-1,0.46523660291671753,45.292,77.972,36.57,69.06,34.9,35.67,36.1
7,0.1,-1,0.4490031427764893,47.128,79.428,41.0,73.33,39.57,40.01,40.53
8,0.1,-1,0.433943853597641,49.006,80.528,43.92,76.41,42.46,43.24,43.8
9,0.1,-1,0.42415122940063477,50.118,81.236,47.08,77.74,44.64,45.51,46.47
10,0.1,-1,0.41401607697486875,51.462,82.088,47.69,77.87,46.19,46.78,47.07
11,0.1,-1,0.4078973116493225,52.002,82.744,45.85,76.45,44.55,45.13,45.68
12,0.1,-1,0.4003545352745056,53.074,83.334,47.59,79.53,46.32,46.93,47.44
13,0.1,-1,0.3941352338123322,54.226,83.692,46.59,77.34,45.42,45.79,46.26
14,0.1,-1,0.3908931649589539,54.406,83.97,49.41,79.99,48.15,48.76,49.01
15,0.1,-1,0.38692508659362795,54.824,84.14,50.66,80.19,48.87,49.72,50.36
16,0.1,-1,0.3833851842689514,55.364,84.526,50.9,80.95,50.17,50.56,50.81
17,0.1,-1,0.3805187020683289,55.622,84.726,51.06,79.1,49.65,50.32,50.71
18,0.1,-1,0.3787712196540832,56.1,84.778,50.74,79.16,50.11,50.32,50.55
19,0.1,-1,0.37705473028182984,56.206,84.822,53.18,83.02,52.49,52.78,53.25
20,0.1,-1,0.3729675291061401,56.712,85.342,47.66,76.02,46.06,46.79,47.45
21,0.1,-1,0.37214735632896423,56.68,85.366,47.94,77.62,46.11,46.87,47.48
22,0.1,-1,0.3700547118186951,57.024,85.636,50.76,79.96,49.81,50.35,50.64
23,0.1,-1,0.3688417329788208,56.98,85.644,50.74,80.3,49.73,50.2,50.61
24,0.1,-1,0.3662272948551178,57.512,85.828,54.0,82.92,53.49,53.88,54.19
25,0.1,-1,0.3648583032989502,57.942,85.944,55.27,83.46,54.68,54.92,55.05
26,0.1,-1,0.36540826658248904,57.91,85.728,50.93,80.77,50.32,50.55,50.85
27,0.1,-1,0.3633364597702026,58.124,85.92,51.74,81.59,50.65,51.13,51.36
28,0.1,-1,0.36245130049705504,58.194,86.178,51.01,78.86,49.81,50.37,50.66
29,0.1,-1,0.36123321872711184,58.326,86.034,51.0,80.27,50.11,50.74,51.2
30,0.1,-1,0.36043276592254636,58.508,86.254,50.98,79.53,50.43,50.78,50.98
31,0.1,-1,0.35819552943229677,58.444,86.6,52.79,81.8,51.51,52.0,52.76
32,0.1,-1,0.3594597033691406,58.578,86.232,45.53,74.44,44.4,45.05,45.68
33,0.1,-1,0.35617661905288694,58.714,86.506,54.58,82.74,53.74,54.29,54.74
34,0.1,-1,0.35700668725013734,58.692,86.378,47.02,77.05,45.58,46.21,46.79
35,0.1,-1,0.35651030448913573,58.652,86.37,51.94,80.69,50.73,51.38,51.88
36,0.1,-1,0.35528018418312074,58.74,86.596,54.0,82.74,53.07,53.81,54.19
37,0.1,-1,0.35581989252090457,58.86,86.672,44.42,74.74,43.94,44.12,44.24
38,0.1,-1,0.3537403945159912,59.326,86.55,49.41,79.71,48.43,48.94,49.43
39,0.1,-1,0.3547726871681213,59.136,86.52,53.79,82.73,52.79,53.11,53.68
40,0.1,-1,0.354104554567337,59.098,86.78,52.58,80.91,52.17,52.44,52.73
41,0.1,-1,0.3515220337963104,59.38,86.638,50.84,80.65,49.64,50.2,50.84
42,0.1,-1,0.35272229902267455,59.312,86.838,52.55,81.7,51.52,52.11,52.66
43,0.1,-1,0.35113879749298094,59.198,86.948,53.23,82.1,52.22,52.63,53.05
44,0.1,-1,0.35155435158729553,59.376,86.79,48.85,77.18,48.15,48.43,48.74
45,0.1,-1,0.3503151695728302,59.43,86.976,53.13,82.39,52.14,52.63,53.15
46,0.1,-1,0.34971761815071106,59.516,86.914,54.34,83.65,53.9,54.54,54.59
47,0.1,-1,0.35092474305152893,59.534,86.872,48.51,78.61,47.54,47.91,48.29
48,0.1,-1,0.34998972653388977,59.752,86.76,55.18,84.3,54.07,54.52,55.02
49,0.1,-1,0.34933283628463746,59.79,86.914,49.31,80.2,48.39,48.96,49.37
