epoch,lr,alpha_t,train_loss,train_top1,train_top5,hist_acc,hist_entropy,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,5.325144557342529,5.41,19.994,100.0,0.0,10.01,32.19,9.05,8.8,9.0
1,0.1,0.8991120277927223,3.685834032897949,13.278,38.104,5.406,4.199528045349121,16.93,44.31,15.47,15.78,15.85
2,0.1,0.8964516155915151,3.329785309753418,19.48,48.162,13.274,3.886748257522583,22.9,53.01,21.52,22.0,22.26
3,0.1,0.89202926282791,3.0290426888275146,24.808,56.202,19.472,3.6249209700012206,27.69,59.05,25.06,25.7,26.43
4,0.1,0.885862422507884,2.7418150637054444,30.55,62.89,24.81,3.3896865833282472,28.85,61.44,26.72,27.38,27.98
5,0.1,0.8779754323328192,2.4644250646209716,35.986,68.866,30.56,3.168794477005005,33.95,66.37,31.39,31.82,32.74
6,0.1,0.8683994186497132,2.2160361360931398,40.696,74.096,35.98,2.947473487548828,39.87,71.86,36.24,37.24,38.61
7,0.1,0.8571721736097089,2.0534311598205566,43.716,76.852,40.694,2.7496029541778566,39.98,70.42,37.52,38.18,38.75
8,0.1,0.8443380060197386,1.9161971655654908,46.628,79.012,43.72,2.623445306930542,45.84,77.98,42.14,43.5,44.92
9,0.1,0.8299475664759068,1.8174032033538818,48.586,80.146,46.618,2.527610661468506,45.57,78.3,42.52,43.27,44.7
10,0.1,0.8140576474687263,1.718299787979126,50.064,81.396,48.588,2.4742760527038574,44.26,74.38,42.42,43.0,43.54
11,0.1,0.7967309592491052,1.6391811883544922,51.276,82.342,50.06,2.4261866452026366,44.44,75.06,41.02,42.41,43.59
12,0.1,0.7780358823396352,1.5592328240585327,52.824,83.136,51.272,2.398776975402832,47.54,78.19,44.25,45.31,46.18
13,0.1,0.7580461976679099,1.4882246812820434,53.426,83.496,52.824,2.379769438858032,50.86,82.09,48.95,49.72,50.3
14,0.1,0.7368407953869104,1.4176347421264648,54.264,84.418,53.426,2.368338727645874,48.06,79.24,44.88,46.1,47.15
15,0.1,0.7145033635316129,1.3564040761184692,54.99,84.668,54.266,2.3623229820251463,50.76,80.48,48.83,49.62,50.11
16,0.1,0.6911220577405485,1.2948390588760377,55.68,84.92,54.99,2.3663464596557615,51.12,81.25,49.08,49.76,50.23
17,0.1,0.6667891533457718,1.2319418342208863,56.342,85.464,55.664,2.3745880781555178,46.38,76.75,43.67,44.51,45.64
18,0.1,0.6416006812042827,1.1779207858276368,56.884,85.602,56.352,2.387245113067627,52.87,81.9,50.2,51.14,52.2
19,0.1,0.6156560487081052,1.1191068226623535,57.188,85.97,56.88,2.4021439919281007,52.63,82.29,50.44,51.29,51.88
20,0.1,0.5890576474687264,1.0565747817611695,58.01,86.448,57.184,2.423694711685181,53.57,82.84,50.81,51.84,52.55
21,0.1,0.5619104492241848,1.0024450913619996,58.48,86.75,58.014,2.442122905883789,51.65,82.08,49.75,50.36,51.14
22,0.1,0.5343215915635762,0.9525429543685913,58.97,86.846,58.478,2.466799898071289,51.86,81.47,49.0,49.9,50.87
23,0.1,0.506399955103937,0.9093052369117737,59.058,86.866,58.97,2.4981924169921874,53.18,82.32,51.37,52.02,52.79
24,0.1,0.4782557337881911,0.85440910987854,59.45,87.008,59.058,2.5412341844940185,55.67,84.07,53.89,54.66,55.33
25,0.1,0.45,0.8035201984786987,59.554,87.3,59.444,2.5792811894226073,52.68,82.88,50.31,51.45,52.03
26,0.1,0.421744266211809,0.7555944979476928,59.98,87.226,59.554,2.6196645706939696,56.97,85.03,54.53,55.3,56.26
27,0.1,0.39360004489606304,0.7158114594650269,59.884,87.276,59.976,2.6672188428497314,52.78,81.95,49.75,50.67,51.92
28,0.1,0.36567840843642385,0.6663098839187622,60.05,87.354,59.886,2.7225549746704103,52.15,81.73,50.23,50.81,51.82
29,0.1,0.33808955077581543,0.6212248241996765,60.198,87.506,60.048,2.7797625328063966,55.47,83.92,52.61,53.8,54.7
30,0.1,0.3109423525312737,0.5776248586845398,60.302,87.398,60.188,2.838006122894287,54.73,83.04,51.9,52.74,53.69
31,0.1,0.28434395129189494,0.5349275398445129,60.252,87.46,60.31,2.9029577822875976,57.24,85.1,55.51,56.19,56.82
32,0.1,0.2583993187957173,0.49412511798858644,60.118,87.37,60.25,2.9700541566467287,51.44,80.31,49.23,50.2,51.06
33,0.1,0.23321084665422806,0.45340574068069456,60.128,87.298,60.122,3.0419555981445314,50.85,80.67,48.99,49.78,50.25
34,0.1,0.20887794225945142,0.4147634261703491,59.9,86.96,60.134,3.118505650253296,52.22,81.75,50.21,50.75,51.48
35,0.1,0.18549663646838715,0.3722002408504486,59.35,86.97,59.898,3.19931901763916,53.7,83.63,52.23,52.93,53.43
36,0.1,0.1631592046130896,0.33972906063079833,59.376,86.682,59.354,3.2804025169372557,54.92,84.0,53.51,54.14,54.56
37,0.1,0.14195380233209007,0.30563054929733274,58.69,86.51,59.376,3.3701466343688966,51.64,81.3,50.69,51.07,51.36
38,0.1,0.1219641176603649,0.26695482407569887,58.482,86.338,58.684,3.463784243469238,55.05,83.56,54.06,54.42,54.91
39,0.1,0.1032690407508949,0.23649199764251708,57.848,85.764,58.482,3.5557744258117676,45.57,74.63,43.66,44.3,44.98
40,0.1,0.0859423525312737,0.20640321199417114,57.112,85.166,57.852,3.6527269454193116,52.54,81.76,51.45,52.01,52.19
41,0.1,0.07005243352409332,0.1764812433052063,56.178,84.698,57.116,3.7510630285644533,53.08,82.42,51.77,52.14,52.52
42,0.1,0.05566199398026144,0.14696725922584533,55.206,83.952,56.176,3.8491369497680665,50.44,80.98,49.02,49.48,50.15
43,0.1,0.04282782639029129,0.12303461650371551,53.806,83.23,55.202,3.944227368850708,49.2,78.68,47.5,47.82,48.36
44,0.1,0.03160058135028689,0.10057246992588043,52.07,82.056,53.794,4.038073787841797,49.98,80.77,48.87,49.04,49.57
45,0.1,0.022024567667180913,0.08015128977537155,50.16,80.74,52.078,4.127879166870117,47.66,78.71,46.03,46.57,47.13
46,0.1,0.014137577492116016,0.06372570779323578,47.286,79.02,50.162,4.211689030761719,46.02,76.98,44.57,44.94,45.38
47,0.1,0.007970737172090125,0.0493423130106926,43.904,76.508,47.292,4.288712754211426,39.55,72.46,37.98,38.36,38.59
48,0.1,0.0035483844084850057,0.03711997120141983,39.76,73.398,43.918,4.357340181884766,38.72,73.02,37.33,37.67,37.87
49,0.1,0.0008879722072777984,0.02777448155105114,35.168,70.016,39.766,4.4155073956298825,32.75,67.76,31.98,32.12,32.21
