epoch,lr,alpha_t,train_loss,train_top1,train_top5,hist_acc,hist_entropy,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,5.27098773223877,5.818,21.198,100.0,0.0,9.3,32.1,8.9,8.26,8.71
1,0.1,0.9,3.739868165664673,11.974,35.826,5.812,4.160287132263184,13.97,38.54,12.66,13.27,13.49
2,0.1,0.94188,3.6660657556152345,18.148,46.692,11.976,3.908383892059326,19.84,49.35,18.75,18.49,18.79
3,0.1,0.88024,2.9971351820373533,24.264,55.208,18.15,3.634226426010132,26.31,57.29,23.94,24.66,25.58
4,0.1,0.8185,2.4470284838867187,30.144,62.392,24.26,3.4223328604888916,27.66,60.75,25.59,26.28,26.87
5,0.1,0.7574,1.985359259262085,36.096,69.398,30.146,3.2377552057647705,35.37,68.59,32.41,33.52,34.42
6,0.1,0.6985399999999999,1.6419216049194336,40.89,74.366,36.104,3.0626829371643067,36.4,68.27,34.44,35.04,35.61
7,0.1,0.63896,1.3934604725646973,44.438,77.212,40.884,2.9318316720581055,42.53,74.65,41.02,41.3,41.75
8,0.1,0.59116,1.2165514294052124,47.414,79.504,44.434,2.8587052575683596,47.89,79.49,45.71,46.44,47.02
9,0.1,0.55566,1.1036640543937684,49.594,80.8,47.42,2.8113441786193847,47.4,79.6,44.94,45.99,47.11
10,0.1,0.5258,1.0186273223495483,51.136,82.034,49.596,2.7858011376190186,47.59,79.48,45.16,46.09,46.89
11,0.1,0.50404,0.9651300902557373,52.24,82.796,51.128,2.772034259414673,48.42,79.36,45.67,46.44,47.62
12,0.1,0.48872000000000004,0.9224961555480957,53.104,83.382,52.238,2.7709892292022706,46.37,77.07,43.7,44.6,45.36
13,0.1,0.47762000000000004,0.8910178842926025,53.802,83.858,53.104,2.768963758621216,50.05,81.21,46.82,48.18,49.07
14,0.1,0.46896000000000004,0.8673093884277344,54.668,84.278,53.8,2.764384914855957,51.79,82.34,49.51,50.37,51.32
15,0.1,0.4620000000000001,0.8495176692199707,55.176,84.506,54.662,2.7611503899383547,50.7,81.35,48.5,49.15,49.94
16,0.1,0.45338,0.831562029838562,55.554,84.866,55.174,2.758502025604248,51.56,80.89,48.67,49.59,50.6
17,0.1,0.44826,0.8191337871551514,55.958,85.022,55.554,2.758545112686157,54.68,83.91,52.38,53.19,54.24
18,0.1,0.44445999999999997,0.8058296249198914,56.43,85.544,55.962,2.760475574874878,53.33,82.72,51.54,52.22,52.81
19,0.1,0.44038,0.7973469487953186,56.67,85.518,56.422,2.7562009309387205,50.17,81.35,47.83,48.37,49.37
