epoch,lr,alpha_t,train_loss,train_top1,train_top5,hist_acc,hist_entropy,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,5.27641985244751,5.908,21.262,100.0,0.0,9.6,32.13,8.81,9.16,8.84
1,0.1,0.8991120277927223,3.7374224513244627,11.85,35.5,5.908,4.175980071411133,14.7,40.7,13.98,13.76,13.85
2,0.1,0.8964516155915151,3.447430379333496,16.772,44.258,11.85,3.9160746084594726,19.83,48.68,18.13,18.5,18.87
3,0.1,0.89202926282791,3.129436657333374,22.602,53.242,16.772,3.712844284362793,24.61,55.59,21.98,22.33,23.02
4,0.1,0.885862422507884,2.756639581451416,29.618,62.402,22.6,3.4785543042755127,29.4,63.22,27.95,28.67,28.94
5,0.1,0.8779754323328192,2.4448049552154543,35.816,69.53,29.622,3.1951016010284423,32.75,64.77,29.71,30.52,31.54
6,0.1,0.8683994186497132,2.20692681137085,40.626,74.17,35.814,2.9387947077941896,38.27,70.83,34.92,36.1,36.86
7,0.1,0.8571721736097089,2.0542607639312744,43.572,76.794,40.622,2.7434314057922364,39.25,70.93,37.14,37.81,38.48
8,0.1,0.8443380060197386,1.916334388999939,46.596,78.988,43.566,2.622761704788208,44.25,77.57,41.31,42.32,43.05
9,0.1,0.8299475664759068,1.8137420942687987,48.518,80.21,46.588,2.529653663864136,46.3,78.0,43.93,44.77,45.28
10,0.1,0.8140576474687263,1.71541838306427,50.212,81.54,48.522,2.473242306137085,46.07,78.24,43.25,44.29,45.19
11,0.1,0.7967309592491052,1.6336428396606446,51.428,82.422,50.216,2.425799593963623,42.16,73.41,39.22,40.13,40.9
12,0.1,0.7780358823396352,1.551811869430542,52.712,83.26,51.424,2.3973894789886474,49.67,81.04,46.71,47.74,48.55
13,0.1,0.7580461976679099,1.4757880723571777,53.526,83.81,52.702,2.3753613046264648,50.54,82.17,48.21,49.09,49.97
14,0.1,0.7368407953869104,1.4137535710525513,54.244,84.516,53.524,2.3592024124145508,51.51,81.78,48.88,49.96,50.75
15,0.1,0.7145033635316129,1.348810594100952,55.174,84.888,54.238,2.3577145996856688,50.32,80.44,48.13,48.71,49.22
16,0.1,0.6911220577405485,1.2852512636947633,55.948,85.22,55.184,2.360175361862183,50.48,80.81,47.56,48.61,49.37
17,0.1,0.6667891533457718,1.2205296237182617,56.716,85.714,55.954,2.3643500524902343,53.17,82.05,50.14,51.08,52.02
18,0.1,0.6416006812042827,1.1710729615402222,57.396,85.93,56.716,2.374580430831909,51.69,81.91,49.53,50.42,51.22
19,0.1,0.6156560487081052,1.1166614529800416,57.402,86.058,57.396,2.392752024307251,51.66,82.53,49.89,50.59,51.28
20,0.1,0.5890576474687264,1.0513616004943849,58.008,86.626,57.404,2.417089697570801,51.72,82.92,49.81,50.73,51.49
21,0.1,0.5619104492241848,0.9999746467971802,58.464,86.67,58.008,2.4365903686523436,42.78,72.88,41.69,41.9,42.3
22,0.1,0.5343215915635762,0.9483534084320069,58.838,86.908,58.46,2.462659645309448,50.13,80.01,48.43,48.92,49.64
23,0.1,0.506399955103937,0.9004757221984864,59.146,86.954,58.838,2.4925617548370362,56.15,84.19,54.07,54.7,55.48
24,0.1,0.4782557337881911,0.8503610651397705,59.566,87.228,59.144,2.530633969345093,53.89,82.99,52.1,52.77,53.3
25,0.1,0.45,0.8012636751747131,59.576,87.366,59.562,2.5704585624694825,54.76,83.57,51.84,52.99,54.03
26,0.1,0.421744266211809,0.755103434677124,60.146,87.366,59.584,2.6147422325134277,54.59,83.23,52.96,53.66,53.91
27,0.1,0.39360004489606304,0.7081778359222413,60.252,87.276,60.15,2.6636070643615724,55.56,84.52,53.55,54.05,54.81
28,0.1,0.36567840843642385,0.664812692527771,60.154,87.406,60.254,2.7148990089416505,52.91,82.27,50.59,51.51,52.58
29,0.1,0.33808955077581543,0.6197728444290161,60.186,87.318,60.156,2.7734024741363523,56.16,84.96,54.44,55.08,55.81
30,0.1,0.3109423525312737,0.5730336575889587,60.376,87.664,60.182,2.8323309776306154,54.07,82.6,52.42,52.91,53.28
31,0.1,0.28434395129189494,0.5299000972938538,60.432,87.698,60.372,2.8958872505950928,55.9,84.46,54.63,55.05,55.65
32,0.1,0.2583993187957173,0.4902150926208496,60.472,87.59,60.434,2.961139097366333,48.63,77.56,46.66,47.3,47.87
33,0.1,0.23321084665422806,0.4537955073356628,60.06,87.482,60.478,3.0325427685546873,52.12,82.44,49.66,50.47,51.41
34,0.1,0.20887794225945142,0.41287105325698853,59.838,87.216,60.056,3.111023282470703,57.0,85.12,55.89,56.36,56.7
35,0.1,0.18549663646838715,0.3742943968868256,59.612,87.172,59.836,3.191668592300415,52.62,81.46,50.25,50.97,52.0
36,0.1,0.1631592046130896,0.3388224142074585,59.446,86.952,59.614,3.276827170410156,54.72,83.66,52.97,53.63,54.0
37,0.1,0.14195380233209007,0.30343915071487426,59.146,86.69,59.44,3.365725591888428,50.05,79.97,47.73,48.5,49.33
38,0.1,0.1219641176603649,0.26811438205718996,58.488,86.286,59.138,3.45844301864624,54.24,83.09,52.65,53.43,53.89
39,0.1,0.1032690407508949,0.23619605640411376,58.014,85.898,58.492,3.551978317871094,45.34,75.37,42.61,43.44,44.77
40,0.1,0.0859423525312737,0.2059934505558014,57.502,85.482,58.012,3.6488758493041993,54.04,83.27,52.54,53.11,53.6
41,0.1,0.07005243352409332,0.17595919819831848,56.568,84.894,57.504,3.747455110549927,52.9,81.8,51.98,52.32,52.7
42,0.1,0.05566199398026144,0.14770639231681823,55.572,84.382,56.58,3.8450425790405274,49.75,79.95,47.93,48.36,49.25
43,0.1,0.04282782639029129,0.12306989118099212,54.136,83.662,55.572,3.9410237982940672,45.93,75.84,44.88,45.06,45.32
44,0.1,0.03160058135028689,0.10136268240451812,52.348,82.548,54.138,4.035267865600586,51.11,81.05,49.38,49.95,50.27
45,0.1,0.022024567667180913,0.0809844769001007,50.188,81.216,52.342,4.125710849304199,46.56,77.83,45.16,45.27,45.82
46,0.1,0.014137577492116016,0.06351793045043945,47.576,79.488,50.192,4.210481506500244,45.74,77.12,44.57,44.82,45.19
47,0.1,0.007970737172090125,0.0488373106944561,44.206,76.912,47.572,4.287438029174805,42.2,75.04,40.61,40.99,41.21
48,0.1,0.0035483844084850057,0.03731032678246498,39.864,73.77,44.22,4.355825166015625,36.7,70.7,35.07,35.31,35.54
49,0.1,0.0008879722072777984,0.028079450809955598,35.202,70.228,39.866,4.414249187927246,33.3,68.35,32.17,32.46,32.58
